tenant_id,company_id,id,eff_begin,eff_end,code,name,cost_center_code,created_by,created_at,updated_by,updated_at,unit_type_code,location_code
1000000000,1700000000,124,2018-01-01,9999-12-31,CEO,CEO,,1,2018-05-28 06:25:14+00,1,2018-06-28 04:33:06+00,CEO,
1000000000,1700000000,125,2018-05-28,9999-12-31,HRDEPT,HRDEPT,,1,2018-05-28 06:25:34+00,,,HRDEPT,
1000000000,1700000000,130,2018-06-05,9999-12-31,FIN-ACC,FINANCE AND ACCOUNTING,,1,2018-06-06 04:31:50.646691+00,,,FINANCEDEPT,HOF
1000000000,1700000000,131,2018-06-05,9999-12-31,BUSPROC-PROCURE,BUSINESS PROCESS AND PROCUREMENT,,1,2018-06-06 04:35:35.795729+00,,,BUSDEPT,HOF
1000000000,1700000000,132,2018-06-05,9999-12-31,MKTOP,MARKETING OPERATIONS,,1,2018-06-06 04:36:33.015242+00,,,SALESMRKTDEPT,HOF
1000000000,1700000000,133,2018-06-05,9999-12-31,MKT-COM,MARKETING COMMUNICATION,,1,2018-06-06 04:37:26.103681+00,,,SALESMRKTDEPT,HOF
1000000000,1700000000,134,2018-06-05,9999-12-31,IT-BUS,IT UI/UX PLATFORM BUSINESS ANALYST,,1,2018-06-06 04:38:07.287926+00,,,IT,HOF
1000000000,1700000000,126,2018-06-05,9999-12-31,LEGAL,DEPARTMENT LEGAL,CC1,1,2018-06-06 04:25:08.885332+00,1,2018-07-06 03:31:22+00,LEGALDEPT,HOF
1000000000,1700000000,127,2018-06-05,9999-12-31,GLB,DEPARTMENT GLOBAL (CBT),CC2,1,2018-06-06 04:25:38.676755+00,1,2018-07-06 03:35:19+00,BUSDEPT,HOF
1000000000,1700000000,128,2018-06-05,9999-12-31,HROGA,DEPARTMENT HR OPERATIONS & GENERAL AFFAIRS,CC1,1,2018-06-06 04:28:23.547851+00,1,2018-07-06 03:35:48+00,HRDEPT,HOF
1000000000,1700000000,129,2018-06-05,9999-12-31,HRS,DEPARTMENT HR SERVICE,CC1,1,2018-06-06 04:28:58.697811+00,1,2018-07-06 03:36:20+00,HRDEPT,HOF
1000000000,1700000000,135,2018-09-10,9999-12-31,DEPTIT,DEPARTMENT IT DEVELOPER,CC1,1,2018-09-10 06:58:24+00,,,ITDEV,HOF
1000000000,1700000000,136,2018-09-23,9999-12-31,HRM,Human Resource Management 1,,1,2018-09-25 07:31:07+00,1,2018-09-25 07:35:11+00,ITDEV,
1000000000,1700000000,137,2018-09-25,9999-12-31,BR1,Branch 1,CC2,1,2018-09-25 07:35:47+00,,,DV,KM
1000000000,1700000000,239,2018-10-18,9999-12-31,fsfsf,fsfsfsf,CC1,1,2018-10-18 08:11:22+00,,,HRDEPT,CabI
1000000000,1700000000,122,2018-01-01,9999-12-31,RND,Research and Development,CC1,1,2018-04-05 09:01:27+00,1,2018-10-18 08:30:10+00,DEP,CabI
