tenant_id,company_id,province_code,code,name,created_by,created_at,updated_by,updated_at
,,ID-AC,ID-BNA,Banda Aceh,0,,,
,,ID-AC,ID-BIR,Bireuen,0,,,
,,ID-AC,ID-BKJ,Blangkejeren,0,,,
,,ID-AC,ID-BPD,Blangpidie,0,,,
,,ID-AC,ID-CAG,Calang,0,,,
,,ID-AC,ID-JTH,Jantho,0,,,
,,ID-AC,ID-KRB,Karang Baru,0,,,
,,ID-AC,ID-KTN,Kutacane,0,,,
,,ID-AC,ID-LGS,Langsa,0,,,
,,ID-AC,ID-LSM,Lhokseumawe,0,,,
,,ID-AC,ID-LSK,Lhoksukon,0,,,
,,ID-AC,ID-MBO,Meulaboh,0,,,
,,ID-AC,ID-MRN,Meureundu,0,,,
,,ID-AC,ID-SAB,Sabang,0,,,
,,ID-AC,ID-SGI,Sigli,0,,,
,,ID-AC,ID-STR,Simpang Tiga Redelong,0,,,
,,ID-AC,ID-SNB,Sinabang,0,,,
,,ID-AC,ID-SKL,Singkil,0,,,
,,ID-AC,ID-SUS,Subulussalam,0,,,
,,ID-AC,ID-SKM,Suka Makmue,0,,,
,,ID-AC,ID-TKN,Takengon,0,,,
,,ID-AC,ID-TTN,Tapak Tuan,0,,,
,,ID-BA,ID-BLI,Bangli,0,,,
,,ID-BA,ID-DPR,Denpasar,0,,,
,,ID-BA,ID-GIN,Gianyar,0,,,
,,ID-BA,ID-KRA,Karangasem,0,,,
,,ID-BA,ID-MGW,Mengwi,0,,,
,,ID-BA,ID-NGA,Negara,0,,,
,,ID-BA,ID-SRP,Semarapura,0,,,
,,ID-BA,ID-SGR,Singaraja,0,,,
,,ID-BA,ID-TAB,Tabanan,0,,,
,,ID-BB,ID-KBA,Koba,0,,,
,,ID-BB,ID-MGR,Manggar,0,,,
,,ID-BB,ID-MTK,Mentok,0,,,
,,ID-BB,ID-PGP,Pangkal Pinang,0,,,
,,ID-BB,ID-SGL,Sungai Liat,0,,,
,,ID-BB,ID-TDN,Tanjung Pandan,0,,,
,,ID-BB,ID-TBL,Toboali,0,,,
,,ID-BT,ID-CLG,Cilegon,0,,,
,,ID-BT,ID-CPT,Ciputat,0,,,
,,ID-BT,ID-PDG,Pandeglang,0,,,
,,ID-BT,ID-RKB,Rangkas Bitung,0,,,
,,ID-BT,ID-SRG,Serang,0,,,
,,ID-BT,ID-TNG,Tangerang,0,,,
,,ID-BT,ID-TGR,Tigaraksa,0,,,
,,ID-BE,ID-AGM,Arga Makmur,0,,,
,,ID-BE,ID-BGL,Bengkulu,0,,,
,,ID-BE,ID-BHN,Bintuhan,0,,,
,,ID-BE,ID-CRP,Curup,0,,,
,,ID-BE,ID-KPH,Kapahiang,0,,,
,,ID-BE,ID-KRT,Karang Tinggi,0,,,
,,ID-BE,ID-MNA,Manna,0,,,
,,ID-BE,ID-MKM,Mukomuko,0,,,
,,ID-BE,ID-TAS,Tais,0,,,
,,ID-BE,ID-TUB,Tubei,0,,,
,,ID-GO,ID-GTO,Gorontalo,0,,,
,,ID-GO,ID-KWD,Kwandang,0,,,
,,ID-GO,ID-MAR,Marisa,0,,,
,,ID-GO,ID-SWW,Suwawa,0,,,
,,ID-GO,ID-TMT,Tilamuta,0,,,
,,ID-JA,ID-BKO,Bangko,0,,,
,,ID-JA,ID-JMB,Jambi,0,,,
,,ID-JA,ID-KLT,Kuala Tungkal,0,,,
,,ID-JA,ID-MBN,Muara Bulian,0,,,
,,ID-JA,ID-MRB,Muara Bungo,0,,,
,,ID-JA,ID-MSK,Muara Sabak,0,,,
,,ID-JA,ID-MRT,Muara Tebo,0,,,
,,ID-JA,ID-SRL,Sarolangun,0,,,
,,ID-JA,ID-SNT,Sengeti,0,,,
,,ID-JA,ID-SPN,Sungai Penuh,0,,,
,,ID-JB,ID-BDG,Bandung,0,,,
,,ID-JB,ID-BJR,Banjar,0,,,
,,ID-JB,ID-BKS,Bekasi,0,,,
,,ID-JB,ID-BGR,Bogor,0,,,
,,ID-JB,ID-CMS,Ciamis,0,,,
,,ID-JB,ID-CJR,Cianjur,0,,,
,,ID-JB,ID-CBI,Cibinong,0,,,
,,ID-JB,ID-CKR,Cikarang,0,,,
,,ID-JB,ID-CMH,Cimahi,0,,,
,,ID-JB,ID-CBN,Cirebon,0,,,
,,ID-JB,ID-DPK,Depok,0,,,
,,ID-JB,ID-GRT,Garut,0,,,
,,ID-JB,ID-IDM,Indramayu,0,,,
,,ID-JB,ID-KWG,Karawang,0,,,
,,ID-JB,ID-KNG,Kuningan,0,,,
,,ID-JB,ID-MJL,Majalengka,0,,,
,,ID-JB,ID-NPH,Ngamprah,0,,,
,,ID-JB,ID-PWK,Purwakarta,0,,,
,,ID-JB,ID-SPA,Singaparna,0,,,
,,ID-JB,ID-SOR,Soreang,0,,,
,,ID-JB,ID-SNG,Subang,0,,,
,,ID-JB,ID-SKB,Sukabumi,0,,,
,,ID-JB,ID-SBR,Sumber,0,,,
,,ID-JB,ID-SMD,Sumedang,0,,,
,,ID-JB,ID-TSM,Tasikmalaya,0,,,
,,ID-JT,ID-BNR,Banjarnegara,0,,,
,,ID-JT,ID-BTG,Batang,0,,,
,,ID-JT,ID-BLA,Blora,0,,,
,,ID-JT,ID-BYL,Boyolali,0,,,
,,ID-JT,ID-BBS,Brebes,0,,,
,,ID-JT,ID-CLP,Cilacap,0,,,
,,ID-JT,ID-DMK,Demak,0,,,
,,ID-JT,ID-JPA,Jepara,0,,,
,,ID-JT,ID-KJN,Kajen,0,,,
,,ID-JT,ID-KRG,Karanganyar,0,,,
,,ID-JT,ID-KBM,Kebumen,0,,,
,,ID-JT,ID-KDL,Kendal,0,,,
,,ID-JT,ID-KLN,Klaten,0,,,
,,ID-JT,ID-KDS,Kudus,0,,,
,,ID-JT,ID-MGG,Magelang,0,,,
,,ID-JT,ID-MKD,Mungkid,0,,,
,,ID-JT,ID-PTI,Pati,0,,,
,,ID-JT,ID-PKL,Pekalongan,0,,,
,,ID-JT,ID-PML,Pemalang,0,,,
,,ID-JT,ID-PBG,Purbalingga,0,,,
,,ID-JT,ID-PWD,Purwodadi,0,,,
,,ID-JT,ID-PWT,Purwokerto,0,,,
,,ID-JT,ID-PWR,Purworejo,0,,,
,,ID-JT,ID-RBG,Rembang,0,,,
,,ID-JT,ID-SLT,Salatiga,0,,,
,,ID-JT,ID-SMG,Semarang,0,,,
,,ID-JT,ID-SLW,Slawi,0,,,
,,ID-JT,ID-SGN,Sragen,0,,,
,,ID-JT,ID-SKH,Sukoharjo,0,,,
,,ID-JT,ID-SKT,Surakarta,0,,,
,,ID-JT,ID-TGL,Tegal,0,,,
,,ID-JT,ID-TMG,Temanggung,0,,,
