tenant_id,company_id,org_structure_id,unit_code,parent_unit_code
12345,12345,1,DIVBOD,
12345,12345,1,DIVBOD2,DIVBOD
12345,12345,1,DIVMKT,DIVBOD2
12345,12345,1,DIVIT,DIVBOD2
12345,12345,1,UI-UX,DIVIT
12345,12345,1,IT_UI-X_CREATIVE,UI-UX
12345,12345,1,IT_UI-X_BA,UI-UX
12345,12345,1,UIXPLATFORM,UI-UX
12345,12345,1,ITDEVDIV,DIVIT
12345,12345,1,ITSERVICE,ITDEVDIV
12345,12345,1,ITPLATFORM,ITDEVDIV
12345,12345,1,DIVHRGA,DIVBOD2
12345,12345,1,DIVHRGA1,DIVHRGA
12345,12345,1,DEPTHRGA1,DIVHRGA1
12345,12345,1,DEPTHRGA2,DIVHRGA1
