tenant_id,company_id,user_id,menu_code,data_access_value,privilege
12345,12345,1,EMT01,POS2,A
12345,12345,1,EMT01,POS3,D
12345,12345,1,GNS02,POS2,A
12345,12345,1,GNS02,POS3,D
12345,12345,1,OMS09,%,A
12345,12345,1,TMS04,%,A
12345,12345,1,TMS05,%,A
12345,12345,1,OMS12,%,A
12345,12345,1,TMS09,%,A
12345,12345,1,TMS06,%,A
12345,12345,1,TMS10,%,A
12345,12345,1,TMS08,%,A
12345,12345,1,GNS11,%,A
12345,12345,1,OMS08,%,A
12345,12345,2,EMT01,POS2,A
12345,12345,2,EMT01,POS3,D
12345,12345,2,GNS02,POS2,A
12345,12345,2,GNS02,POS3,D
12345,12345,15,OMS09,ADS,D
12345,12345,15,OMS12,ADS,D
12345,12345,16,EMT01,POS2,A
12345,12345,16,EMT01,POS3,D
12345,12345,16,GNS02,POS2,A
12345,12345,16,GNS02,POS3,D
12345,12345,18,EMT01,%,A
12345,12345,18,GNS02,%,A
12345,12345,360,EMT01,XPeQ,D
12345,12345,360,GNS02,XPeQ,D
12345,12345,361,EMT01,PI65,D
12345,12345,361,GNS02,PI65,D
12345,12345,362,EMT01,1O8L,D
12345,12345,362,GNS02,1O8L,D
12345,12345,1,PYS04,%,A
12345,12345,1,BNF01,%,A
12345,12345,1,BNF02,%,A
12345,12345,1,BNF03,%,A
12345,12345,1,BNF01,%,A
12345,12345,1,BNF02,%,A
12345,12345,1,BNF03,%,A
1113223891,1113223891,1,EMT01,POS2,A
1113223891,1113223891,1,EMT01,POS3,D
1113223891,1113223891,1,GNS02,POS2,A
1113223891,1113223891,1,GNS02,POS3,D
1113223891,1113223891,1,OMS09,%,A
1113223891,1113223891,1,TMS04,%,A
1113223891,1113223891,1,TMS05,%,A
1113223891,1113223891,1,OMS12,%,A
1113223891,1113223891,1,TMS09,%,A
1113223891,1113223891,1,TMS06,%,A
1113223891,1113223891,1,TMS10,%,A
1113223891,1113223891,1,TMS08,%,A
1113223891,1113223891,1,GNS11,%,A
1113223891,1113223891,1,OMS08,%,A
1113223891,1113223891,2,EMT01,POS2,A
1113223891,1113223891,2,EMT01,POS3,D
1113223891,1113223891,2,GNS02,POS2,A
1113223891,1113223891,2,GNS02,POS3,D
1113223891,1113223891,15,OMS09,ADS,D
1113223891,1113223891,15,OMS12,ADS,D
1113223891,1113223891,16,EMT01,POS2,A
1113223891,1113223891,16,EMT01,POS3,D
1113223891,1113223891,16,GNS02,POS2,A
1113223891,1113223891,16,GNS02,POS3,D
1113223891,1113223891,18,EMT01,%,A
1113223891,1113223891,18,GNS02,%,A
1113223891,1113223891,360,EMT01,XPeQ,D
1113223891,1113223891,360,GNS02,XPeQ,D
1113223891,1113223891,361,EMT01,PI65,D
1113223891,1113223891,361,GNS02,PI65,D
1113223891,1113223891,362,EMT01,1O8L,D
1113223891,1113223891,362,GNS02,1O8L,D
1113223891,1113223891,1,PYS04,%,A
1113223891,1113223891,1,BNF01,%,A
1113223891,1113223891,1,BNF02,%,A
1113223891,1113223891,1,BNF03,%,A
1113223891,1113223891,1,BNF01,%,A
1113223891,1113223891,1,BNF02,%,A
1113223891,1113223891,1,BNF03,%,A
