setting_type_code,key_data,val_data,created_by,created_at,updated_by,updated_at
DATE,DDMMYYYY,DDMMYYYY,0,2017-10-02 01:57:46+00,,
DATE,YYYYMMDD,YYYYMMDD,0,2017-10-02 01:57:46+00,,
LANG,EN,English,0,2017-10-02 01:57:46+00,,
LANG,ID,Indonesian,0,2017-10-02 01:57:46+00,,
NSEP,.,Dot (.),0,2017-10-02 01:57:46+00,,
NSEP,",","Comma (,)",0,2017-10-02 01:57:46+00,,
ADAL,E,Enable,0,2017-10-02 01:57:46+00,,
ADAL,D,Disable,0,2017-10-02 01:57:46+00,,
VALD,S,Strict,0,2017-10-02 01:57:46+00,,
VALD,I,Information,0,2017-10-02 01:57:46+00,,
WFES,NA,No Action,0,2017-10-02 01:57:46+00,,
WFES,AR-1,Auto reject after 1 day,0,2017-10-02 01:57:46+00,,
WFES,AR-2,Auto reject after 2 day,0,2017-10-02 01:57:46+00,,
WFES,AR-3,Auto reject after 3 day,0,2017-10-02 01:57:46+00,,
WFES,AR-4,Auto reject after 4 day,0,2017-10-02 01:57:46+00,,
WFES,AR-5,Auto reject after 5 day,0,2017-10-02 01:57:46+00,,
WFES,AR-6,Auto reject after 6 day,0,2017-10-02 01:57:46+00,,
WFES,AR-7,Auto reject after 7 day,0,2017-10-02 01:57:46+00,,
WFES,AA-1,Auto approve after 1 day,0,2017-10-02 01:57:46+00,,
WFES,AA-2,Auto approve after 2 day,0,2017-10-02 01:57:46+00,,
WFES,AA-3,Auto approve after 3 day,0,2017-10-02 01:57:46+00,,
WFES,AA-4,Auto approve after 4 day,0,2017-10-02 01:57:46+00,,
WFES,AA-5,Auto approve after 5 day,0,2017-10-02 01:57:46+00,,
WFES,AA-6,Auto approve after 6 day,0,2017-10-02 01:57:46+00,,
WFES,AA-7,Auto approve after 7 day,0,2017-10-02 01:57:46+00,,
PROJ,SPRO,Single Project,0,2017-10-02 01:57:46+00,,
PROJ,MPRO,Multiple Project,0,2017-10-02 01:57:46+00,,
CURR,IDR,Indonesian Rupiah,0,2017-10-02 01:57:46+00,,
CURR,USD,US Dollar,0,2017-10-02 01:57:46+00,,
CURR,EUR,Euro,0,2017-10-02 01:57:46+00,,
MAPR,MAN,Mandatory,0,2017-10-02 01:57:46+00,,
MAPR,OPT,Optional,0,2017-10-02 01:57:46+00,,
MAAC,MAN,Mandatory,0,2017-10-02 01:57:46+00,,
MAAC,OPT,Optional,0,2017-10-02 01:57:46+00,,
