id,mt_module_code,name,temp_field_name,data_type,is_mandatory,default_value,min,max,decimal,regex,is_lookup,lookup_service,lookup_table,lookup_field,is_hidden,default_value_type,lookup_condition,dest_service,dest_table,dest_field
1,LOCA,Code,f1,TEXT,t,,,20,,"^[a-zA-Z0-9_-]{1,20}$",f,,,,f,AUTO,,core,locations,code
2,LOCA,Name,f2,TEXT,t,,,50,,,f,,,,f,,,core,locations,name
3,LOCA,Description,f3,TEXT,f,NULL,,255,,,f,,,,f,VALUE,,core,locations,description
4,LOCA,Calendar Key,f4,TEXT,f,NULL,,20,,,t,core,lovs,key_data,f,,lov_type_code='CAL',core,locations,calendar_code
5,LOCA,Tax Office,f5,TEXT,f,NULL,,5,,,t,payroll,tax_offices,code,f,VALUE,,core,locations,tax_office_code
6,LOCA,City Code,f6,INTEGER,t,,,20,,,t,core,cities,id,f,,,core,locations,city_code
8,LOCA,Address,f7,TEXT,f,NULL,,255,,,f,,,,f,VALUE,,core,locations,address
9,LOCA,Postal Code,f8,TEXT,f,NULL,,10,,^[0-9]{5}$,f,,,,f,VALUE,,core,locations,postal_code
10,LOCA,Phone,f9,TEXT,f,NULL,,50,,,f,,,,f,VALUE,,core,locations,phone
11,LOCA,Fax,f10,TEXT,f,NULL,,50,,,f,,,,f,VALUE,,core,locations,fax
12,LOCA,Start Effective Date,f11,DATE,t,,,,,^(0?[1-9]|[12][0-9]|3[01])([ \/\-])(0?[1-9]|1[012])\2([0-9][0-9][0-9][0-9])(([ -])([0-1]?[0-9]|2[0-3]):[0-5]?[0-9]:[0-5]?[0-9])?$,f,,,,f,MIN_DATE,,core,locations,eff_begin
13,LOCA,End Effective Date,f12,DATE,t,,,,,^(0?[1-9]|[12][0-9]|3[01])([ \/\-])(0?[1-9]|1[012])\2([0-9][0-9][0-9][0-9])(([ -])([0-1]?[0-9]|2[0-3]):[0-5]?[0-9]:[0-5]?[0-9])?$,f,,,,f,MAX_DATE,,core,locations,eff_end
14,COCE,Code,f1,TEXT,t,,,20,,"^[a-zA-Z0-9_-]{1,20}$",f,,,,f,,,core,cost_centers,code
15,COCE,Name,f2,TEXT,t,,,50,,,f,,,,f,,,core,cost_centers,name
16,COCE,Start Effective Date,f3,DATE,t,,,,,^(0?[1-9]|[12][0-9]|3[01])([ \/\-])(0?[1-9]|1[012])\2([0-9][0-9][0-9][0-9])(([ -])([0-1]?[0-9]|2[0-3]):[0-5]?[0-9]:[0-5]?[0-9])?$,f,,,,f,MIN_DATE,,core,cost_centers,eff_begin
17,COCE,End Effective Date,f4,DATE,t,,,,,^(0?[1-9]|[12][0-9]|3[01])([ \/\-])(0?[1-9]|1[012])\2([0-9][0-9][0-9][0-9])(([ -])([0-1]?[0-9]|2[0-3]):[0-5]?[0-9]:[0-5]?[0-9])?$,f,,,,f,MAX_DATE,,core,cost_centers,eff_end
18,GRDS,Code,f1,TEXT,t,,,20,,"^[a-zA-Z0-9_-]{1,20}$",f,,,,f,AUTO,,core,grades,code
19,GRDS,Name,f2,TEXT,t,,,50,,,f,,,,f,,,core,grades,name
20,GRDS,Order,f3,INTEGER,t,,1,32000,,,f,,,,f,,,core,grades,ordinal
21,GRDS,Work Month,f4,INTEGER,f,NULL,1,255,,,f,,,,f,VALUE,,core,grades,work_month
22,GRDS,Bottom Rate,f5,INTEGER,f,NULL,0,2000000000,,,f,,,,f,VALUE,,core,grades,bottom_rate
23,GRDS,Mid Rate,f6,INTEGER,f,NULL,0,2000000000,,,f,,,,f,VALUE,,core,grades,mid_rate
24,GRDS,Top Rate,f7,INTEGER,f,NULL,0,2000000000,,,f,,,,f,VALUE,,core,grades,top_rate
25,GRDS,Start Effective Date,f8,DATE,t,,,,,^(0?[1-9]|[12][0-9]|3[01])([ \/\-])(0?[1-9]|1[012])\2([0-9][0-9][0-9][0-9])(([ -])([0-1]?[0-9]|2[0-3]):[0-5]?[0-9]:[0-5]?[0-9])?$,f,,,,f,MIN_DATE,,core,grades,eff_begin
26,GRDS,End Effective Date,f9,DATE,t,,,,,^(0?[1-9]|[12][0-9]|3[01])([ \/\-])(0?[1-9]|1[012])\2([0-9][0-9][0-9][0-9])(([ -])([0-1]?[0-9]|2[0-3]):[0-5]?[0-9]:[0-5]?[0-9])?$,f,,,,f,MAX_DATE,,core,grades,eff_end
27,UNTY,Code,f1,TEXT,t,,,20,,"^[a-zA-Z0-9_-]{1,20}$",f,,,,f,AUTO,,core,unit_types,code
28,UNTY,Name,f2,TEXT,t,,,50,,,f,,,,f,,,core,unit_types,name
29,UNTY,Unit Level,f3,INTEGER,t,,1,32000,,,f,,,,f,,,core,unit_types,unit_level
30,UNIT,Code,f1,TEXT,t,,,20,,"^[a-zA-Z0-9_-]{1,20}$",f,,,,f,AUTO,,core,units,code
31,UNIT,Name,f2,TEXT,t,,,50,,,f,,,,f,,,core,units,name
32,UNIT,Location Code,f3,TEXT,f,NULL,,20,,,f,,,,f,VALUE,,core,units,location_code
33,UNIT,Unit Type Code,f4,TEXT,f,NULL,,20,,,t,core,unit_types,code,f,,,core,units,unit_type_code
34,UNIT,Cost Center Code,f5,TEXT,f,NULL,,20,,,t,core,cost_centers,code,f,VALUE,,core,units,cost_center_code
35,UNIT,Start Effective Date,f6,DATE,t,,,,,^(0?[1-9]|[12][0-9]|3[01])([ \/\-])(0?[1-9]|1[012])\2([0-9][0-9][0-9][0-9])(([ -])([0-1]?[0-9]|2[0-3]):[0-5]?[0-9]:[0-5]?[0-9])?$,f,,,,f,MIN_DATE,,core,units,eff_begin
36,UNIT,End Effective Date,f7,DATE,t,,,,,^(0?[1-9]|[12][0-9]|3[01])([ \/\-])(0?[1-9]|1[012])\2([0-9][0-9][0-9][0-9])(([ -])([0-1]?[0-9]|2[0-3]):[0-5]?[0-9]:[0-5]?[0-9])?$,f,,,,f,MAX_DATE,,core,units,eff_end
37,JOFA,Code,f1,TEXT,f,,,20,,"^[a-zA-Z0-9_-]{1,20}$",f,,,,f,AUTO,,core,job_families,code
38,JOFA,Name,f2,TEXT,t,,,50,,,f,,,,f,,,core,job_families,name
